ENC 
ENC bytes 0 
13:   SWcycles : 196161   HWcycles : 1224
14:   SWcycles : 196161   HWcycles : 1224
15:   SWcycles : 196161   HWcycles : 1224
16:   SWcycles : 196161   HWcycles : 1224
17:   SWcycles : 196161   HWcycles : 1224
18:   SWcycles : 196161   HWcycles : 1224
19:   SWcycles : 196161   HWcycles : 1224
20:   SWcycles : 196161   HWcycles : 1224
21:   SWcycles : 196161   HWcycles : 1224
22:   SWcycles : 196161   HWcycles : 1224
23:   SWcycles : 196161   HWcycles : 1224
24:   SWcycles : 196161   HWcycles : 1224
25:   SWcycles : 196161   HWcycles : 1224
26:   SWcycles : 196161   HWcycles : 1224
27:   SWcycles : 196161   HWcycles : 1224
28:   SWcycles : 196161   HWcycles : 1224
29:   SWcycles : 196161   HWcycles : 1224
DEC bytes 1000 
0:   SWcycles : 383404   HWcycles : 2236
1:   SWcycles : 383397   HWcycles : 2232
2:   SWcycles : 383397   HWcycles : 2232
3:   SWcycles : 383397   HWcycles : 2232
4:   SWcycles : 383397   HWcycles : 2235
5:   SWcycles : 383397   HWcycles : 2232
6:   SWcycles : 383397   HWcycles : 2232
7:   SWcycles : 383397   HWcycles : 2232
8:   SWcycles : 383397   HWcycles : 2232
9:   SWcycles : 383397   HWcycles : 2232
10:   SWcycles : 383397   HWcycles : 2232
11:   SWcycles : 383397   HWcycles : 2232
12:   SWcycles : 383397   HWcycles : 2232
13:   SWcycles : 383397   HWcycles : 2232
14:   SWcycles : 383397   HWcycles : 2232
15:   SWcycles : 383397   HWcycles : 2232
16:   SWcycles : 383397   HWcycles : 2232
17:   SWcycles : 383397   HWcycles : 2232
18:   SWcycles : 383397   HWcycles : 2232
19:   SWcycles : 383397   HWcycles : 2232
20:   SWcycles : 383397   HWcycles : 2232
21:   SWcycles : 383397   HWcycles : 2232
22:   SWcycles : 383397   HWcycles : 2232
23:   SWcycles : 383397   HWcycles : 2232
24:   SWcycles : 383397   HWcycles : 2232
25:   SWcycles : 383397   HWcycles : 2232
26:   SWcycles : 383397   HWcycles : 2232
27:   SWcycles : 383397   HWcycles : 2232
28:   SWcycles : 383397   HWcycles : 2232
29:   SWcycles : 383397   HWcycles : 2232
DEC bytes 5000 
0:   SWcycles : 1869400   HWcycles : 10236
1:   SWcycles : 1869397   HWcycles : 10232
2:   SWcycles : 1869397   HWcycles : 10232
3:   SWcycles : 1869397   HWcycles : 10232
4:   SWcycles : 1869397   HWcycles : 10232
5:   SWcycles : 1869397   HWcycles : 10232
